,exp,model,gamma,pm1,pm2,pm3,pm4,mm1,mm2,mm3,epoch_task_1,epoch_task_2
GunPoint_fcn_mt_ae_0.5,cam,fcn_mt_ae,0.5,0.8381957129605417,0.3730191175623632,0.4751832056356156,0.0,0.0012108871859541131,74.64133490786634,74.51473903108743,98,361
GunPoint_fcn_mt_conv_0.5,cam,fcn_mt_conv,0.5,0.5924079205531316,0.28579655757594424,0.5828902409362815,0.0,0.003416835683605389,109.38510918097805,109.17946146577968,84,329
GunPoint_resnet_mt_ae_0.5,cam,resnet_mt_ae,0.5,0.9453606112564564,-0.2439751103112523,-0.24967022923189877,0.0,0.0007900295011278145,129.325668298017,129.24150601787437,79,388
GunPoint_fcn_mt_ae_0.75,cam,fcn_mt_ae,0.75,0.8755586813072442,0.46096939129254383,0.5928385422530192,0.0,0.0010308307180760799,140.31366886471125,140.0744086830179,204,397
GunPoint_fcn_mt_conv_0.75,cam,fcn_mt_conv,0.75,0.6460780527278832,0.3253713258664713,0.6607111825571133,0.0,0.002545048597877113,117.87801516971781,117.5390635733496,117,398
GunPoint_resnet_mt_ae_0.75,cam,resnet_mt_ae,0.75,0.9810563732979677,-0.2172935669319303,-0.23095187252583627,0.0,0.00024717321716896776,111.6153190459697,111.6005655858782,112,393
GunPoint_resnet_mt_conv_0.75,cam,resnet_mt_conv,0.75,0.9301274929330926,-0.19147650091910584,-0.2201693709876702,0.0,0.0008938660075194197,123.6093490970725,123.63741540957564,104,394
Beef_fcn_mt_ae_0.5,cam,fcn_mt_ae,0.5,0.7173554989052839,0.10249101019940322,0.19044714002056395,0.0,0.0010071727433901582,95.32199634455398,95.2527296626233,293,366
Beef_fcn_mt_conv_0.5,cam,fcn_mt_conv,0.5,0.27875060324672696,-0.01792639852638473,0.3373435155403281,0.0,0.0039716971987475745,90.52514875731201,90.43221020067041,368,394
Beef_resnet_mt_ae_0.5,cam,resnet_mt_ae,0.5,0.8272598193987818,0.30508236121349924,0.38485303917653757,0.0,0.0007691534008338481,210.31693531547774,210.36980977928735,210,396
Beef_fcn_mt_ae_0.75,cam,fcn_mt_ae,0.75,0.6277626539879801,0.19658633774137876,0.24037817690223617,0.0,0.001260059354425968,70.04156900403933,69.99673748376895,341,391
Beef_fcn_mt_conv_0.75,cam,fcn_mt_conv,0.75,0.2226441208494377,0.022566005221740616,0.2974157080325495,0.0,0.0030257203972254908,59.74345460550334,59.590401595531766,312,373
Beef_resnet_mt_ae_0.75,cam,resnet_mt_ae,0.75,0.6343762869794104,0.2695744555742584,0.3981149351570242,0.0,0.0014508277874710621,198.08010349750322,198.15441742679144,305,370
Beef_resnet_mt_conv_0.75,cam,resnet_mt_conv,0.75,0.30307283856471284,0.2568417713363859,0.37520859391906264,0.0,0.00258477905161901,202.36054780018264,202.31266207370462,203,396
ECG200_fcn_mt_ae_0.5,cam,fcn_mt_ae,0.5,0.9858353522902883,0.7399691638354448,0.7488650964813452,0.0,0.00027182529829442004,205.54479083317153,205.51077927019884,64,397
ECG200_fcn_mt_conv_0.5,cam,fcn_mt_conv,0.5,0.8440614493000936,0.6731708256644047,0.7277798944747924,0.0,0.0032899516465874482,153.73109848576453,153.54266144303298,109,395
ECG200_resnet_mt_ae_0.5,cam,resnet_mt_ae,0.5,0.993932004020642,0.800259477588328,0.8039390890020741,0.0,0.00011068163206671721,217.85985152201593,217.92992703827258,75,399
ECG200_fcn_mt_ae_0.75,cam,fcn_mt_ae,0.75,0.9738154348714813,0.7239821964141601,0.7235554419453417,0.0,0.00048207716934330124,287.7753275395613,287.7589785378762,216,398
ECG200_fcn_mt_conv_0.75,cam,fcn_mt_conv,0.75,0.8123978658005474,0.6179746401863835,0.7417618663259797,0.0,0.00366617990576371,217.2460417066134,216.66803091784632,244,360
ECG200_resnet_mt_ae_0.75,cam,resnet_mt_ae,0.75,0.9936177197923632,0.833514794521641,0.835766597534067,0.0,0.00010843337363556907,257.4266315943363,257.47731857315534,90,389
ECG200_resnet_mt_conv_0.75,cam,resnet_mt_conv,0.75,0.9348946800099843,0.872009122723733,0.8910491089562602,0.0,0.001050524357555222,186.49693812021803,186.41082031779948,78,353
