,dataset,model,gamma,pm1,pm2,pm3,mm1,mm2,mm3
0,GunPoint,fcn_mt_conv,0.25,0.8019138153673036,0.6401789678042118,0.7943098291968018,0.0023711000745544994,0.003907699889503419,0.004906628846458733
1,GunPoint,fcn_mt_nn,0.25,0.573898580922693,0.4486024104535721,0.7851641498657143,0.0037573752102825564,0.002354698004550301,0.004855542721415894
2,GunPoint,resnet_mt_ae,0.25,0.9902786244419698,0.6104087530667309,0.6129590060742356,0.00014536633799925043,0.00464373552519828,0.004681153058948774
3,GunPoint,resnet_mt_conv,0.25,0.9716463536672197,0.6544578974179872,0.66778018996748,0.0004226370866118621,0.004513770932797342,0.004617125454214047
4,GunPoint,resnet_mt_nn,0.25,0.9941795341322729,0.680519854108814,0.6826309186067046,7.981942082216924e-05,0.004061685960507021,0.004107419745862287
6,GunPoint,fcn_mt_conv,0.5,0.8049945572200329,0.6432494904767448,0.7942853574426113,0.0023875581122609233,0.0035188344041816887,0.004992825748481613
7,GunPoint,fcn_mt_nn,0.5,0.5001651611036145,0.36572998879611884,0.7317316525357599,0.004267614705099326,0.002080000789370388,0.004929304135810956
8,GunPoint,resnet_mt_ae,0.5,0.9882250456538509,0.6497413827229848,0.653527606881776,0.00017909312365702542,0.004576689629349857,0.00457741393971089
9,GunPoint,resnet_mt_conv,0.5,0.9527556109229873,0.6336710215413566,0.6568059699202173,0.0006723379844613398,0.004789172059390694,0.005097498080883512
10,GunPoint,resnet_mt_nn,0.5,0.9954628261369625,0.6464693843861472,0.6488038696546667,6.289765516679788e-05,0.004540240036556497,0.004624689683007255
12,GunPoint,fcn_mt_conv,0.75,0.766923741953219,0.5420924930890839,0.7219437586181787,0.002721865506191072,0.0031316475719213484,0.0048075191030267335
13,GunPoint,fcn_mt_nn,0.75,0.40537243996151445,0.3202271593046457,0.7611383413581729,0.004852654967900906,0.001691622731392272,0.004893527422606763
14,GunPoint,resnet_mt_ae,0.75,0.9862341529543123,0.68162451786735,0.684352849684955,0.0002037053084870637,0.004625645846826955,0.004619750020677843
15,GunPoint,resnet_mt_conv,0.75,0.9296382903761854,0.5538564412434704,0.5796081454328895,0.0010075550487556825,0.004957068966468796,0.005168991114957044
16,GunPoint,resnet_mt_nn,0.75,0.990369235045393,0.5377643886591301,0.5426927390229954,0.00013120176257792795,0.005237862622598186,0.005421086240525978
19,Beef,fcn_mt_conv,0.25,0.19437372064528669,0.12007095604404872,0.5287474953124406,0.0030228575169868343,0.0017214182139529536,0.001717243428729209
20,Beef,fcn_mt_nn,0.25,0.4089402912765977,0.24261807788399303,0.7043641446823667,0.001572682893380594,0.0006319121080256688,0.001515160388488626
21,Beef,resnet_mt_ae,0.25,0.8385770087670099,0.4924363656238862,0.5560029123238983,0.00065829696780919,0.0025533075576337676,0.0025239682606501414
22,Beef,resnet_mt_conv,0.25,0.5032380959006453,0.31284192773180824,0.551449464708978,0.0017484859723120444,0.0031065344247811788,0.0027859188184917354
23,Beef,resnet_mt_nn,0.25,0.15494301538910576,0.1104277608714627,0.623273617587613,0.002055861714037742,0.002262986787779179,0.0020383381395346995
25,Beef,fcn_mt_conv,0.5,0.14934575763872446,0.047119966308708586,0.45165274701904046,0.0030793289086793615,0.0016491366395105917,0.0018577087540230703
26,Beef,fcn_mt_nn,0.5,0.4067869020845271,0.2531418409453221,0.5425333937975918,0.001583233283865388,0.0006997389864894406,0.001701151983942227
27,Beef,resnet_mt_ae,0.5,0.809508717889654,0.5238162598576194,0.6118436903969259,0.0008406123700041901,0.002043080299044959,0.0018774096517946634
28,Beef,resnet_mt_conv,0.5,0.4109888183580825,0.26161129318279813,0.5998303527105037,0.001975353297696739,0.004437058548016163,0.0032522089237668104
29,Beef,resnet_mt_nn,0.5,0.15492070814452658,0.08902223506428616,0.585772936431598,0.002055874867173929,0.0015352281847541842,0.0018318105442981687
31,Beef,fcn_mt_conv,0.75,0.15017934065296787,0.0518579486501764,0.4178020763823496,0.0027332607947231453,0.0014067265519406647,0.0019974488251015116
32,Beef,fcn_mt_nn,0.75,0.37641923785683373,0.20392813340334479,0.5579279030472506,0.0017017434629669139,0.0004356795631853553,0.001748168174278642
33,Beef,resnet_mt_ae,0.75,0.837304745411617,0.5079655286886515,0.573455025793338,0.0007017147303337349,0.0027145913670149945,0.0025972930070394876
34,Beef,resnet_mt_conv,0.75,0.33113319013077575,0.23054298314661398,0.582649223861355,0.0022159504947032787,0.005349207901842116,0.003933035172943484
35,Beef,resnet_mt_nn,0.75,0.15483860227677976,0.11211500095533236,0.5567304226699579,0.002055918734316805,0.0024204409075900915,0.0024472904065535464
38,ECG200,fcn_mt_conv,0.25,0.9044542685900069,0.7759205152608658,0.815423157046171,0.0019343581406762907,0.005164625540142879,0.006740142088492854
