,classifier,pred head,gamma,loss,data,m1m,m1p,m1c,m2m,m2p,m2c,m3m,m3p,m3c,accuracy,precision,recall
0,fcn,sigmoid,1.0,mse,raw,0.0,0.9999999999999949,0.9999999999999954,104.22166681708352,-0.02637799510176088,0.27384603308135386,104.2216637680367,-0.026377994568316653,0.27384603151000175,0.98,0.981012658227848,0.9797297297297296
14,fcn,relus,1.0,mse,raw,0.0,0.9999999999999949,0.9999999999999954,106.60896921267089,0.00187643487606125,0.02419102375579761,106.60896613278638,0.0018764377629180283,0.024191025976617667,0.98,0.981012658227848,0.9797297297297296
9,fcn,dense,1.0,mse,raw,0.0,0.9999999999999949,0.9999999999999954,106.66308557925487,-0.026681546654247993,0.006564030691582709,106.66308249955168,-0.026681546166095107,0.006564030029214872,0.98,0.981012658227848,0.9797297297297296
19,fcn,ae,1.0,mse,raw,12.9780000828183,0.9494414769696012,0.9501953310020044,106.41484500539383,0.0031452208090439605,0.08879577473588654,135.9248018841639,-0.01775158745583866,0.057639475261249254,1.0,1.0,1.0
1,fcn,sigmoid,0.75,mse,raw,19.13788777995699,0.8705702238585519,0.8841496563357077,100.5776798607524,0.32950403972623404,0.4283660173997408,88.2689787849314,0.24226201490003926,0.3866730698456788,1.0,1.0,1.0
2,fcn,sigmoid,0.75,mse,minmax,16.894982919293685,0.8931571596516111,0.9004726915844941,103.24717750907642,0.555535528235621,0.39213292846998576,93.13886612471006,0.4822503980691337,0.3541651213396736,0.9933333333333332,0.9935064935064934,0.9932432432432432
3,fcn,sigmoid,0.75,cosinesim,minmax,14.907118340038929,0.9152453755929195,0.923645537687755,103.75286080395031,0.5584934497643514,0.3939940249648058,106.37429145122968,0.5537193603252764,0.38620077253656304,0.9933333333333332,0.9935064935064934,0.9932432432432432
15,fcn,relus,0.75,mse,raw,158.95891600922482,0.49953273287266087,0.4907583637796978,60.408182691117275,0.5739899240917983,0.6288464306192456,197.47037870085563,0.24854714411814807,0.2512525443680505,0.96,0.9610042735042736,0.960348506401138
10,fcn,dense,0.75,mse,raw,61.935254426177984,0.5830151142746298,0.5975350046872299,58.55938893870772,0.5717444826568081,0.6254259365729047,66.82333292491212,0.32125455424659044,0.3563446738624609,1.0,1.0,1.0
24,fcn,ae,0.75,mse,raw,63.53176546500942,0.636064965162791,0.66888539949944,15.509273592365115,0.8837463855820751,0.8893433327585001,51.54857526537773,0.6139920716720079,0.6546077763621984,0.9866666666666668,0.9871794871794872,0.9864864864864864
4,fcn,sigmoid,0.5,mse,raw,41.702724999163486,0.7375298397809027,0.7676390286844474,100.43980664202962,0.3481584277717942,0.44220544282864116,67.26862057832653,0.21706972226917112,0.39054098374711854,0.9933333333333332,0.9935064935064934,0.9932432432432432
16,fcn,relus,0.5,mse,raw,137.44904110174676,0.4756626154970913,0.4690944885663307,59.8829416759017,0.5879277305103214,0.6382380994974652,157.48307968558817,0.23873410293798217,0.23812319308004404,0.98,0.9805194805194806,0.9802631578947368
11,fcn,dense,0.5,mse,raw,88.07189921867209,0.48299778990188114,0.48507876049300414,56.784388606096094,0.5973915066545724,0.645217806171556,102.95749599215631,0.23947240627972016,0.24655759709746894,0.9866666666666668,0.986842105263158,0.986842105263158
21,fcn,ae,0.5,mse,raw,77.53710970461458,0.5873307269147127,0.6209607129972373,14.752186341200002,0.888723633242897,0.8939500481006326,64.00799570384271,0.5544568315426027,0.5937770091051626,0.9933333333333332,0.9935064935064934,0.9932432432432432
22,fcn,ae,0.5,cosinesim,minmax,17.68642383848079,0.9322240969976346,0.9333369066131416,103.16943740524164,0.8655478093352159,0.4970268507594144,136.71112392702383,0.8212102123118111,0.4876605099987364,1.0,1.0,1.0
23,fcn,ae,0.5,mse,minmax,16.768305497344382,0.9035594158500198,0.9121889245811016,102.04934787663815,0.8372814179996436,0.49544067533422503,105.33246682417659,0.7797036018107839,0.5158529820353773,0.9933333333333332,0.9935064935064934,0.9932432432432432
5,fcn,sigmoid,0.25,mse,raw,66.12606014090396,0.5846534192018972,0.6308598386593322,100.42871384560621,0.35386131924048553,0.44162589050773043,67.86832569882321,0.22496070172733038,0.39568602618902415,0.9733333333333334,0.975,0.972972972972973
6,fcn,sigmoid,0.25,mse,minmax,18.441901618080408,0.9129106271900418,0.9163149365322902,103.10558323580368,0.5895383612017472,0.3977773025902197,114.93759665338138,0.542193942798923,0.35592973940887757,1.0,1.0,1.0
7,fcn,sigmoid,0.25,mse copy,minmax,18.441901618080408,0.9129106271900418,0.9163149365322902,103.10558323580368,0.5895383612017472,0.3977773025902197,114.93759665338138,0.542193942798923,0.35592973940887757,1.0,1.0,1.0
17,fcn,relus,0.25,mse,raw,99.92570520100722,0.531744035488606,0.5189624260510728,56.35462775655794,0.5957677767890734,0.6446380772871518,112.68935729669164,0.2842322095660309,0.2720438254440624,0.9733333333333334,0.9743589743589745,0.9736842105263156
12,fcn,dense,0.25,mse,raw,89.32324172015801,0.4720203850088346,0.4908737200933791,57.20988813877459,0.5829611881166419,0.6344343190134357,94.05221170341328,0.23157509601631762,0.26917369106291744,0.9933333333333332,0.9933333333333334,0.993421052631579
20,fcn,ae,0.25,mse,raw,85.78065873697115,0.5058498383036929,0.5175449750882347,15.006237490250879,0.8826864756382659,0.8893077015972238,74.45143091162032,0.49890414919820963,0.5147798116756596,0.96,0.9625,0.9605263157894736
