,dataset,model,gamma,pm1,pm2,pm3,mm1,mm2,mm3
0,GunPoint,fcn_mt_ae,0.25,0.9788181551064872,0.6959296937889896,0.7167059638226864,0.0003029501286130164,0.003882549846777693,0.0037417579219561846
1,GunPoint,fcn_mt_conv,0.25,0.8019138153673036,0.6401789677296816,0.7943098291072355,0.0023711000745544994,0.0042023208658210935,0.002692730319747733
2,GunPoint,fcn_mt_nn,0.25,0.573898580922693,0.44860241016158203,0.7851641496763668,0.0037573752102825564,0.004984924695454538,0.0028175197735086388
3,GunPoint,resnet_mt_ae,0.25,0.9902786244419698,0.6104087531959045,0.6129590062224641,0.00014536633799925043,0.005222932860720902,0.005204916934664332
4,GunPoint,resnet_mt_conv,0.25,0.9716463536672197,0.6544578974786265,0.6677801900125917,0.0004226370866118621,0.004517488671699539,0.004440404476082377
5,GunPoint,resnet_mt_nn,0.25,0.9941795341322729,0.6805198543013476,0.6826309187964487,7.981942082216924e-05,0.004259007287211717,0.004277674618761118
7,GunPoint,fcn_mt_ae,0.5,0.9771749272630167,0.7132216240920638,0.7313936377326457,0.0003264883997551727,0.0036210662012454127,0.0035281666468057957
8,GunPoint,fcn_mt_conv,0.5,0.8049945572200329,0.6432494904179087,0.7942853574569039,0.0023875581122609233,0.00409304762398824,0.002688406471542748
9,GunPoint,fcn_mt_nn,0.5,0.5001651611036145,0.3657299884315037,0.7317316523990298,0.004267614705099326,0.00562251945422031,0.003511231587273491
10,GunPoint,resnet_mt_ae,0.5,0.9882250456538509,0.6497413826791382,0.6535276068404241,0.00017909312365702542,0.00468981352262199,0.004650186563600446
11,GunPoint,resnet_mt_conv,0.5,0.9527556109229873,0.633671021339795,0.6568059697112177,0.0006723379844613398,0.004845845389179886,0.004738416726255452
12,GunPoint,resnet_mt_nn,0.5,0.9954628261369625,0.6464693843387288,0.6488038696188528,6.289765516679788e-05,0.004702440028544515,0.004713726215444364
14,GunPoint,fcn_mt_ae,0.75,0.9744838370167482,0.7805058537461924,0.7965862300411858,0.00037306122943208477,0.0027772189481183886,0.0026713992827193432
15,GunPoint,fcn_mt_conv,0.75,0.766923741953219,0.5420924931318227,0.7219437587018739,0.002721865506191072,0.005069744820706546,0.0037117741846007185
16,GunPoint,fcn_mt_nn,0.75,0.40537243996151445,0.32022715952260306,0.7611383413670123,0.004852654967900906,0.005623472637031227,0.003135169636148286
17,GunPoint,resnet_mt_ae,0.75,0.9862341529543123,0.6816245176315618,0.6843528495024263,0.0002037053084870637,0.004267300624866039,0.004250098739049611
18,GunPoint,resnet_mt_conv,0.75,0.9296382903761854,0.5538564415694676,0.5796081458158461,0.0010075550487556825,0.005868553237523883,0.005671396188804176
19,GunPoint,resnet_mt_nn,0.75,0.990369235045393,0.5377643884676865,0.5426927388319002,0.00013120176257792795,0.006037774521159008,0.006104620775961644
22,Beef,fcn_mt_ae,0.25,0.6218729130970071,0.4291655833148707,0.6808360674738226,0.001281777264562142,0.0017396334554844847,0.001344597762042572
23,Beef,fcn_mt_conv,0.25,0.19437372064528669,0.12007095604021714,0.5287474951061752,0.0030228575169868343,0.003235927722416818,0.001976607184292072
24,Beef,fcn_mt_nn,0.25,0.4089402912765977,0.2426180778580139,0.7043641446341823,0.001572682893380594,0.002027229221421294,0.0012373285614075645
25,Beef,resnet_mt_ae,0.25,0.8385770087670099,0.49243636547766984,0.5560029123252109,0.00065829696780919,0.0019996886335623765,0.0018684750767272932
26,Beef,resnet_mt_conv,0.25,0.5032380959006453,0.31284192772492536,0.5514494645486158,0.0017484859723120444,0.0023726662729556362,0.0018882154215964578
27,Beef,resnet_mt_nn,0.25,0.15494301538910576,0.11042776077083323,0.6232736174277185,0.002055861714037742,0.002090983670204878,0.0015850188176631172
29,Beef,fcn_mt_ae,0.5,0.6084846036415821,0.2815586159730965,0.4595727558844026,0.0013399507593204725,0.0020711060174896075,0.0022773717976112364
30,Beef,fcn_mt_conv,0.5,0.14934575763872446,0.047119966633804564,0.4516527468771575,0.0030793289086793615,0.0033942594596495235,0.0023072625246607927
31,Beef,fcn_mt_nn,0.5,0.4067869020845271,0.25314184115164073,0.5425333937491523,0.001583233283865388,0.0019952147727599367,0.0019271142439432824
32,Beef,resnet_mt_ae,0.5,0.809508717889654,0.5238162599326641,0.6118436903235541,0.0008406123700041901,0.0019171635579550636,0.0016356230563437581
33,Beef,resnet_mt_conv,0.5,0.4109888183580825,0.2616112932243326,0.5998303526163772,0.001975353297696739,0.002443481603792558,0.0016862479848072688
34,Beef,resnet_mt_nn,0.5,0.15492070814452658,0.08902223496847636,0.5857729365053033,0.002055874867173929,0.0021027930321482324,0.001746055144384587
36,Beef,fcn_mt_ae,0.75,0.6556380366379757,0.4837347998290619,0.7112021979048165,0.0011970960530509026,0.0016250706584348032,0.0012008992271097191
37,Beef,fcn_mt_conv,0.75,0.15017934065296787,0.05185794883759898,0.4178020762395227,0.0027332607947231453,0.002937383120879531,0.002444207221365016
38,Beef,fcn_mt_nn,0.75,0.37641923785683373,0.20392813331280507,0.557927903147068,0.0017017434629669139,0.001972211992445712,0.001846238815638196
39,Beef,resnet_mt_ae,0.75,0.837304745411617,0.507965528504383,0.5734550256161327,0.0007017147303337349,0.001949979769997299,0.001793067908956402
40,Beef,resnet_mt_conv,0.75,0.33113319013077575,0.23054298329095305,0.5826492238557389,0.0022159504947032787,0.0025742420041933657,0.0017515314025403402
41,Beef,resnet_mt_nn,0.75,0.15483860227677976,0.11211500080645165,0.5567304226020574,0.002055918734316805,0.002088772232333819,0.001865192934199754
44,ECG200,fcn_mt_ae,0.25,0.9917194227858932,0.8586573629666356,0.8591397525871951,0.00016492052558108678,0.002620416794437915,0.002623161554684005
45,ECG200,fcn_mt_conv,0.25,0.9044542685900069,0.77592051521724,0.8154231570245791,0.0019343581406762907,0.004041285493411124,0.00346139061443812
46,ECG200,fcn_mt_nn,0.25,0.8795656043478145,0.7726396357156232,0.8564954192964978,0.001854036007932045,0.003741201502503827,0.0026775731402350214
47,ECG200,resnet_mt_ae,0.25,0.9947849847487504,0.6855306108378176,0.6893620513281717,0.00011235830891382721,0.006156708034221083,0.006046532688069867
48,ECG200,resnet_mt_conv,0.25,0.9733260549391186,0.6419919629307504,0.6538815738809164,0.0005546089958540241,0.0068121436166111386,0.006637223417258481
49,ECG200,resnet_mt_nn,0.25,0.9933964252129218,0.7062125701753665,0.7085744711603208,0.0001282504461784136,0.00566384375502821,0.0056464989090503105
51,ECG200,fcn_mt_ae,0.5,0.9866892579117756,0.8580298771756599,0.8616433573158451,0.0002651317785900479,0.00260960520489607,0.0025675186776128733
52,ECG200,fcn_mt_conv,0.5,0.8821279096111047,0.7801066540844299,0.8494299739011197,0.002318763369990692,0.003928934747120366,0.002794195473613888
53,ECG200,fcn_mt_nn,0.5,0.8797407263287209,0.7972131291732665,0.86785371442684,0.0019548177622259115,0.003433092484599911,0.0024199053008941477
54,ECG200,resnet_mt_ae,0.5,0.9929309881145576,0.6659341485843966,0.668980052493932,0.00014876930747605158,0.0065567823217716065,0.0064587604799971636
55,ECG200,resnet_mt_conv,0.5,0.9734947314791373,0.6026567018067461,0.6144386902738027,0.0005534733155358599,0.007585754412924871,0.007367926699279115
56,ECG200,resnet_mt_nn,0.5,0.994286742235802,0.6758754764374348,0.6787837744895255,0.0001115289429170581,0.006310475239763036,0.006278391799593
58,ECG200,fcn_mt_ae,0.75,0.9839421522253019,0.8509002322750195,0.855068137817379,0.00031975227199757027,0.0027055864710127933,0.002666223555627715
59,ECG200,fcn_mt_conv,0.75,0.8555658549508868,0.7610054933828676,0.8384019783078763,0.0027937975295831857,0.004248850499978289,0.0029839649117102945
60,ECG200,fcn_mt_nn,0.75,0.8831050985651882,0.7936730244411797,0.8712235400317528,0.0019313586777969561,0.0034688725324813277,0.0023775881962468386
61,ECG200,resnet_mt_ae,0.75,0.9874951252551949,0.7052917475649974,0.7120056019648333,0.00025776914709793597,0.005783936032094062,0.00564800294286472
62,ECG200,resnet_mt_conv,0.75,0.9230117677833432,0.646477506860906,0.6754919362777163,0.001598422878709619,0.006773797319736331,0.006325876458919515
63,ECG200,resnet_mt_nn,0.75,0.9952915590215851,0.7145995487132536,0.7155362089337473,9.291300791553774e-05,0.005633436459116637,0.005609284118116667
